"","given","class","query","NCTId"
"123",TRUE,"clinical",NA,NA
"124",FALSE,"clinical",NA,NA
"125",FALSE,"clinical",NA,NA
"126",FALSE,"clinical",NA,NA
"127",FALSE,"clinical",NA,NA
"128",TRUE,"NCT","NCT05254184","NCT05254184"
"129",TRUE,"NCT","NCT05726864","NCT05726864"
"130",TRUE,"NCT","NCT03948763","NCT03948763"
"131",TRUE,"NCT","NCT03600883","NCT03600883"
"132",TRUE,"NCT","NCT03785249","NCT03785249"
"133",TRUE,"NCT","NCT03521154","NCT03521154"
"134",TRUE,"NCT","NCT04077463","NCT04077463"
"135",TRUE,"NCT","NCT03944772","NCT03944772"
"136",TRUE,"NCT","NCT04988295","NCT04988295"
"137",TRUE,"NCT","NCT02716116","NCT02716116"
"138",TRUE,"NCT","NCT01841723","NCT01841723"
"139",TRUE,"NCT","NCT00082706","NCT00082706"
"140",TRUE,"NCT","NCT03588078","NCT03588078"
"141",TRUE,"NCT","NCT02780128","NCT02780128"
"142",TRUE,"NCT","NCT04003649","NCT04003649"
"143",TRUE,"NCT","NCT02340221","NCT02340221"
"144",TRUE,"NCT","NCT01820364","NCT01820364"
"145",TRUE,"NCT","NCT03076554","NCT03076554"
"146",TRUE,"NCT","NCT05104736","NCT05104736"
"147",TRUE,"NCT","NCT03463460","NCT03463460"
"148",TRUE,"NCT","NCT01011439","NCT01011439"
"149",TRUE,"NCT","NCT04710628","NCT04710628"
"150",TRUE,"NCT","NCT00965250","NCT00965250"
"151",TRUE,"NCT","NCT00829166","NCT00829166"
"152",TRUE,"NCT","NCT02187783","NCT02187783"
"153",TRUE,"NCT","NCT02423343","NCT02423343"
"154",TRUE,"NCT","NCT03330847","NCT03330847"
"155",TRUE,"NCT","NCT01501604","NCT01501604"
"156",TRUE,"NCT","NCT02437318","NCT02437318"
"157",TRUE,"NCT","NCT01870505","NCT01870505"
"158",TRUE,"NCT","NCT02632071","NCT02632071"
"159",TRUE,"NCT","NCT04195750","NCT04195750"
"160",TRUE,"NCT","NCT02296125","NCT02296125"
"161",TRUE,"NCT","NCT02908672","NCT02908672"
"162",TRUE,"NCT","NCT03805919","NCT03805919"
"163",TRUE,"NCT","NCT03390504","NCT03390504"
"164",TRUE,"NCT","NCT02052778","NCT02052778"
"165",TRUE,"NCT","NCT03694522","NCT03694522"
"166",TRUE,"NCT","NCT00779389","NCT00779389"
"167",TRUE,"NCT","NCT03230318","NCT03230318"
"168",TRUE,"NCT","NCT01976741","NCT01976741"
"169",TRUE,"NCT","NCT01675999","NCT01675999"
"170",TRUE,"NCT","NCT03239340","NCT03239340"
"171",TRUE,"NCT","NCT03745716","NCT03745716"
"172",TRUE,"NCT","NCT02864992","NCT02864992"
"173",TRUE,"NCT","NCT05281406","NCT05281406"
"174",TRUE,"NCT","NCT04413201","NCT04413201"
"175",TRUE,"NCT","NCT05488314","NCT05488314"
"176",TRUE,"NCT","NCT05261399","NCT05261399"
"177",TRUE,"NCT","NCT01774721","NCT01774721"
"178",TRUE,"NCT","NCT02897479","NCT02897479"
"179",TRUE,"NCT","NCT03042702","NCT03042702"
"180",TRUE,"NCT","NCT02671955","NCT02671955"
"181",TRUE,"NCT","NCT04685135","NCT04685135"
"182",TRUE,"NCT","NCT05275868","NCT05275868"
"183",TRUE,"NCT","NCT04471415","NCT04471415"
"184",TRUE,"NCT","NCT05313009","NCT05313009"
"185",TRUE,"NCT","NCT04173507","NCT04173507"
"186",TRUE,"NCT","NCT04933695","NCT04933695"
"187",TRUE,"NCT","NCT03544723","NCT03544723"
"188",TRUE,"NCT","NCT03645200","NCT03645200"
"189",TRUE,"NCT","NCT01866319","NCT01866319"
"190",TRUE,"NCT","NCT02362594","NCT02362594"
"191",TRUE,"NCT","NCT02364609","NCT02364609"
"192",TRUE,"NCT","NCT01295827","NCT01295827"
"193",TRUE,"NCT","NCT03675737","NCT03675737"
"194",TRUE,"NCT","NCT02065063","NCT02065063"
"195",TRUE,"NCT","NCT02150967","NCT02150967"
"196",TRUE,"NCT","NCT03260712","NCT03260712"
"197",TRUE,"NCT","NCT01969578","NCT01969578"
"198",TRUE,"NCT","NCT02501954","NCT02501954"
"199",TRUE,"NCT","NCT05022342","NCT05022342"
"200",TRUE,"NCT","NCT02417701","NCT02417701"
"201",TRUE,"NCT","NCT01338857","NCT01338857"
"202",TRUE,"NCT","NCT01918306","NCT01918306"
"203",TRUE,"NCT","NCT03614364","NCT03614364"
"204",TRUE,"NCT","NCT03729297","NCT03729297"
"205",TRUE,"NCT","NCT01897571","NCT01897571"
"206",TRUE,"NCT","NCT01943851","NCT01943851"
"207",TRUE,"NCT","NCT05669664","NCT05669664"
"208",TRUE,"NCT","NCT04620187","NCT04620187"
"209",TRUE,"NCT","NCT05010629","NCT05010629"
"210",TRUE,"NCT","NCT02383927","NCT02383927"
"211",TRUE,"NCT","NCT00322452","NCT00322452"
"212",TRUE,"NCT","NCT02008227","NCT02008227"
"213",TRUE,"NCT","NCT02789345","NCT02789345"
"214",TRUE,"NCT","NCT03432585","NCT03432585"
"215",TRUE,"NCT","NCT03607539","NCT03607539"
"216",TRUE,"NCT","NCT02915744","NCT02915744"
"217",TRUE,"NCT","NCT03209973","NCT03209973"
"218",TRUE,"NCT","NCT03800134","NCT03800134"
"219",TRUE,"NCT","NCT01657604","NCT01657604"
"220",TRUE,"NCT","NCT02923180","NCT02923180"
"221",TRUE,"NCT","NCT04285632","NCT04285632"
"222",TRUE,"NCT","NCT02220894","NCT02220894"
"223",TRUE,"NCT","NCT03539536","NCT03539536"
"224",TRUE,"NCT","NCT04262856","NCT04262856"
"225",FALSE,"NCT","NCT03588001",NA
"226",FALSE,"NCT","NCT02568796",NA
"227",FALSE,"NCT","NCT01565449",NA
"228",FALSE,"NCT","NCT03489100",NA
"229",FALSE,"NCT","NCT02098284",NA
"230",FALSE,"NCT","NCT03158724",NA
"231",FALSE,"NCT","NCT01309085",NA
"232",FALSE,"NCT","NCT03207591",NA
"233",FALSE,"NCT","NCT03161559",NA
"234",FALSE,"NCT","NCT04209921",NA
"235",FALSE,"NCT","NCT03598655",NA
"236",FALSE,"NCT","NCT04512252",NA
"237",FALSE,"NCT","NCT04644591",NA
"238",FALSE,"NCT","NCT03001974",NA
"239",FALSE,"NCT","NCT04001974",NA
"240",FALSE,"NCT","NCT01164090",NA
"241",FALSE,"NCT","NCT03371920",NA
"242",FALSE,"NCT","NCT00364391",NA
"243",FALSE,"NCT","NCT01024450",NA
"244",FALSE,"NCT","NCT02148304",NA
"245",FALSE,"NCT","NCT03393270",NA
"246",FALSE,"NCT","NCT03533232",NA
"247",FALSE,"NCT","NCT04268417",NA
"248",FALSE,"NCT","NCT04591063",NA
"249",FALSE,"NCT","NCT04968710",NA
"250",FALSE,"NCT","NCT03093222",NA
"251",FALSE,"NCT","NCT04033329",NA
"252",FALSE,"NCT","NCT04255351",NA
